"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CORIPUS","197601","12560.419","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197602","12833.586","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197603","12877.161","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197604","12727","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197605","12919.871","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197606","13799.167","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197607","13900.903","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197608","13888.032","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197609","13716.2","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197610","13319.226","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197611","14101.3","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197612","14332.968","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197613","13415.956","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197701","14129.774","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197702","14734.107","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197703","14263.29","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197704","14176.933","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197705","14592.71","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197706","14864.567","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197707","14881.71","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197708","14642.323","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197709","14923.767","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197710","14654.29","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197711","14636.033","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197712","14748.452","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197713","14602.419","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197801","14149.677","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197802","13969.036","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197803","14148.323","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197804","13885.733","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197805","14995.839","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197806","14692.867","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197807","14910.581","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197808","15196.355","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197809","15084.933","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197810","15004.548","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197811","15336.2","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197812","15421.387","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197813","14739.049","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197901","14839.71","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197902","14314.286","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197903","14260.129","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197904","14570.867","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197905","14449.935","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197906","14805.933","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197907","15098.484","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197908","14966.806","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197909","14593.9","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197910","14422.806","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197911","14537.333","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197912","14876.548","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","197913","14647.638","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198001","14301.065","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198002","14187.448","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198003","13709.258","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198004","13484.133","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198005","13326.032","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198006","13704.533","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198007","13264.419","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198008","12984.097","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198009","13312.767","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198010","12771.903","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198011","13118.5","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198012","13647.581","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198013","13481.336","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198101","13247.484","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198102","12902.5","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198103","12382.968","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198104","12090.533","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198105","12309.129","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198106","12414.567","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198107","12260.742","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198108","12908.226","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198109","12505.1","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198110","12057.161","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198111","12240","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198112","12348.774","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198113","12470.479","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198201","11598.71","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198202","11236.286","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198203","11275.903","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198204","11392.167","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198205","11805.548","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198206","12493.8","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198207","12445.968","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198208","11871.226","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198209","12145.8","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198210","11749.065","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198211","11723.533","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198212","11514.226","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198213","11773.575","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198301","11143.29","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198302","10632.929","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198303","10859.161","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198304","11433.333","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198305","11800.097","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198306","12284.3","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198307","12359.742","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198308","12152.323","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198309","12481.5","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198310","11781.677","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198311","12004.367","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198312","11234.065","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198313","11685.118","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198401","11586.871","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198402","12157.241","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198403","11926.452","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198404","11890.867","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198405","12246.742","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198406","12254.967","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
"CORIPUS","198407","12028.452","1","Crude Oil Refinery and Blender Net Input","Thousand Barrels per Day"
